address,lat,lon
"No. 3 Jalan Pinang, CIty Centre,, KLCC, Kuala Lumpur",3.155438,101.7103252
"Sri Damansara, Kuala Lumpur",3.194485,101.6151772
"Jalan Robertson Off Jalan Pudu, Bukit Bintang, Kuala Lumpur",3.1453467,101.7043303
"jalan cheras, Cheras, Kuala Lumpur",3.1050961,101.7322091
"3 Jalan Dutamas Raya, Segambut, Kuala Lumpur",3.1801496,101.6578229
"Jalan 3/93A, Batu 2 ?, Jalan Cheras, Cheras, Kuala Lumpur",3.1277579,101.7216014
"Cheras, Kuala Lumpur",3.1068447,101.7259197
"Jalan Palong, Miharja, Cheras, Cheras, Kuala Lumpur",3.1223629,101.7243849
"The Henge Jalan Metro Perdana Barat, Taman Usahawan Kepong, Kepong, Kuala Lumpur",3.2148247,101.6396885
"The Holmes 2 Jalan Jujur, Bandar Tun Razak, Kuala Lumpur",3.0883695,101.7211341
"Jalan Bahagia 10, Taman Sri Bahagia, Cheras, Kuala Lumpur",3.0590294,101.7541241
"Changkat Duta Kiara, Mont Kiara, Kuala Lumpur",3.1719817,101.6589897
"Jalan Desa Utama, Taman Desa, Kuala Lumpur",3.1033428,101.683733
"Plaza medan putra, Bandar Menjalara, Kuala Lumpur",3.191603,101.623126
"sunway montana, Taman Melawati, Kuala Lumpur",3.2226978,101.7353937
"jalan 6/4 desa melawati, Taman Melawati, Kuala Lumpur",3.2204258,101.7381913
"sunway montana, Taman Melawati, Kuala Lumpur",3.2226978,101.7353937
"Sunway Montana, Wangsa Maju, Kuala Lumpur",3.2226978,101.7353937
"jalan 6/4, Ampang, Kuala Lumpur",3.1310837,101.7666142
"Jalan Klang Lama, Jalan Klang Lama (Old Klang Road), Kuala Lumpur",3.0925535,101.6751405
"18 Jalan Dutamas Raya, Sri Hartamas, Kuala Lumpur",3.1801615,101.6583814
"18 Jalan Dutamas Raya, Sri Hartamas, Kuala Lumpur",3.1801615,101.6583814
"18 Jalan Dutamas Raya, Sri Hartamas, Kuala Lumpur",3.1801615,101.6583814
"Bukit Jalil, Kuala Lumpur",3.0586745,101.6917068
"Jalan 3/155A, Bukit OUG, Bukit Jalil, Bukit Jalil, Kuala Lumpur",3.0637705,101.6693191
"Ampang, Kuala Lumpur",3.16648,101.7483451
"Jalan Kaloi Off Jalan Kurau, Bangsar, Kuala Lumpur",3.1229875,101.6723498
"Jalan 5/155, Taman Industri Bukit OUG, Bukit Jalil, Bukit Jalil, Kuala Lumpur",3.0638711,101.6665762
"Jalan 1/155B, Bandar Bukit Jalil, Bukit Jalil, Kuala Lumpur",3.060485,101.674616
"Jalan Juara Off Persiaran Damai Perdana, Cheras, Cheras, Kuala Lumpur",3.042613,101.7326374
"Bukit Jalil, Kuala Lumpur",3.0586745,101.6917068
"Ampang, Kuala Lumpur",3.16648,101.7483451
"Jalan Juara Off Persiaran Damai Perdana, Cheras, Cheras, Kuala Lumpur",3.042613,101.7326374
"Jalan Juara Off Persiaran Damai Perdana, Cheras, Cheras, Kuala Lumpur",3.042613,101.7326374
"Ampang, Kuala Lumpur",3.16648,101.7483451
"Ampang, Kuala Lumpur",3.16648,101.7483451
"Ampang, Kuala Lumpur",3.16648,101.7483451
"Ampang, Kuala Lumpur",3.16648,101.7483451
"Ampang, Kuala Lumpur",3.16648,101.7483451
"Ampang, Kuala Lumpur",3.16648,101.7483451
"Ampang, Kuala Lumpur",3.16648,101.7483451
"Ampang, Kuala Lumpur",3.16648,101.7483451
"lrt salak selatan, Cheras, Kuala Lumpur",3.1018,101.70624
"LRT MALURI, Cheras, Kuala Lumpur",3.123882,101.727764
"lrt salak selatan, Bangsar South, Kuala Lumpur",3.1018,101.70624
"sungai besi, Sungai Besi, Kuala Lumpur",3.0644953,101.7071756
"COURTS MAMMOTH CHERAS, Cheras, Kuala Lumpur",3.11892,101.72853
"338 Jalan Tun Razak, KLCC, Kuala Lumpur",3.1634193,101.7178731
"338 Jalan Tun Razak, KLCC, Kuala Lumpur",3.1634193,101.7178731
"338 Jalan Tun Razak, KLCC, Kuala Lumpur",3.1634193,101.7178731
"Jalan Dutamas Raya, Segambut, Kuala Lumpur",3.1801383,101.6574473
